line_item_promo_uuid,promotion_id,line_item_uuid,match_price,match_quantity,mix_group_id,promo_amount,promotion_name,promotion_type
a3e265af-5936-49de-ac01-c9b9c4a9891b,14,e09eb700-0c95-4797-8774-45f3e49b3cef,11.47,1,100,0.55,2024 RCI All Non Marb Buy 2,mixAndMatchOffer
0590c388-a508-4910-a77c-ede033bd18d9,14,2d3b5624-9d5b-4cf4-971c-f5f8cd42d275,10.23,1,100,0.50,2024 RCI All Non Marb Buy 2,mixAndMatchOffer
79cb1ec1-798c-4b49-a8b9-4ac76781a3ea,14,9896eab4-2fc5-45c4-bf70-6260a0d3c484,10.23,1,100,0.50,2024 RCI All Non Marb Buy 2,mixAndMatchOffer
b8d4c825-ee67-4fdf-a907-e5e84c226c59,38,e55ad29b-c2da-49c1-b316-c11f3a89451d,3.00,1,101,0.49,RCI Monster 16Z,mixAndMatchOffer
c2d65dac-a7df-4849-ab9e-2e7f4929ec6f,38,1be1565f-9a3b-4d91-a77e-c99a8390ecaa,3.00,1,101,0.49,RCI Monster 16Z,mixAndMatchOffer
a0e5607c-181a-4b79-acd6-be70f0c354d1,24,6d0a0323-5a00-481d-a226-555c39251a8a,11.26,1,100,0.90,RCI Altria Marlboro Buy 2 July 2024,mixAndMatchOffer
b31d11a6-0bb0-4554-9865-b7dfc2186bf0,24,18b90b9e-2520-4409-9bcf-358b27d6f997,11.26,1,100,0.90,RCI Altria Marlboro Buy 2 July 2024,mixAndMatchOffer
b9a0b8c9-d03f-4e3f-b160-008117bcb82b,1,fbf3257b-c851-4d0c-8501-08e4f7926eb7,3.25,1,100,0.64,2024 Red Bull 12z,mixAndMatchOffer
62bed6eb-cef9-4973-beb7-3abaa598edfd,1,1423244c-cf9d-4194-b942-51d1249feb07,3.25,1,100,0.64,2024 Red Bull 12z,mixAndMatchOffer
03c5b800-1cf7-4d81-8757-2cec78f40461,1134,01de5071-87f6-4eef-9e08-38c726497b8c,2.00,2,100,1.18,RCI Donuts 2 for 2,mixAndMatchOffer
a6762df3-3765-44d0-a8b7-dc007ca32830,13,2fbc9e2e-3158-4025-80d9-8f62de4b7eb4,2.25,1,100,0.44,Pepsi 20z Q1 2025,mixAndMatchOffer
9e20bbad-8d32-4a50-aa50-2b36d4048409,13,4e479333-f1aa-466a-bd6f-38ff5a4bbd06,2.25,1,100,0.44,Pepsi 20z Q1 2025,mixAndMatchOffer
3a451181-d7a6-49a1-bc1d-f9b54a5d784f,14,abff9512-ad40-4402-93b6-8d8566f01ab8,12.31,1,100,0.50,2024 RCI All Non Marb Buy 2,mixAndMatchOffer
dd5e33dd-43e2-4f72-9bdf-6e7f8e90d564,14,e77c854f-68ad-4ef7-9f2e-dba63d2c11ed,12.31,1,100,0.50,2024 RCI All Non Marb Buy 2,mixAndMatchOffer
895a088e-7715-4fb4-a9bf-ca5894a7d155,14,d38a2016-812e-4808-b7e1-7d4fda983f32,12.31,1,100,0.50,2024 RCI All Non Marb Buy 2,mixAndMatchOffer
f689488b-d2c7-48aa-bdbd-6d13eb2e258b,14,43fcffa9-f5a8-4f28-86d8-8f947668011e,12.31,1,100,0.50,2024 RCI All Non Marb Buy 2,mixAndMatchOffer
908535bd-41ac-434b-b230-dd28e31cff70,43,87d9fae9-4f2b-4d64-a542-dae55921bcb4,2.62,1,100,0.37,RCI Bucked Up 16z,mixAndMatchOffer
e58b1bae-1e6a-4425-9082-5fd94909a869,43,daaf5638-699b-46ce-a679-902dfe97b194,2.63,1,100,0.36,RCI Bucked Up 16z,mixAndMatchOffer
d9cae3ee-98c2-41a9-9ce0-7dfec9ea3255,24,3733cbf4-fc26-4eb7-9c11-f51214a3d35f,11.55,1,100,0.90,RCI Altria Marlboro Buy 2 July 2024,mixAndMatchOffer
ef0e5932-5ad9-42de-a722-46daeb643227,24,11a6f161-49a8-48b1-ae88-9fe0042f372f,11.55,1,100,0.90,RCI Altria Marlboro Buy 2 July 2024,mixAndMatchOffer
