line_loyalty_uuid,line_item_uuid,loyalty_discount_amount,loyalty_quantity_applied,loyalty_tax_credit,transaction_id,sales_transaction_unique_id
233df5df-9e6b-4972-a009-5149cb11b46f,518aa035-4e1b-49fe-9e2a-b51dfcf09f97,1.80,1,0.00,1016072,1726116964000-660040656-0001969282
2a65ac9f-be1d-497f-b963-a7913ede2ac4,7d81ffc7-8f7b-4468-88e9-5063c96c0f53,1.80,1,0.00,1016073,1726116964000-660040656-0001969291
4ba33f96-c8aa-42e7-9a66-ebbf27b251a8,a4f9a187-bdd4-46ad-a37b-52634a8b5762,1.80,1,0.00,1028224,1730350498000-660038027-0001208022
