transaction_event_log_id,customer_dob_entry,duration,event_type,global_unique_identifier,verifone_transaction_sn
90154546,060104,184,FINANCIAL,1726116894000-660011418-0001427614,116193
90354547,,99,FINANCIAL,1726116894000-660011418-0001427618,116194
90554548,,110,FINANCIAL,1726116894000-660011418-0001427628,116195
10161904,,43,FINANCIAL,1726116894000-660011418-0001427629,116196
90754549,,135,FINANCIAL,1726116894000-660011418-0001427633,116197
10161905,060104,6,FINANCIAL,1726116894000-660011418-0001427634,116198
90654550,,168,FINANCIAL,1726116894000-660011418-0001427643,116199
90354551,,92,FINANCIAL,1726116894000-660011418-0001427653,116200
10161906,060104,13,FINANCIAL,1726116894000-660011418-0001427656,116201
90754552,,115,FINANCIAL,1726116894000-660011418-0001427665,116202
90254553,,364,FINANCIAL,1726116894000-660011418-0001427667,116203
10161907,,26,FINANCIAL,1726116894000-660011418-0001427676,116204
10161908,,8,FINANCIAL,1726116894000-660011418-0001427688,116205
90754554,,228,FINANCIAL,1726116894000-660011418-0001427691,116206
90654555,,121,FINANCIAL,1726116894000-660011418-0001427693,116207
10161909,060104,7,FINANCIAL,1726116894000-660011418-0001427701,116208
10161910,,7,FINANCIAL,1726116894000-660011418-0001427709,116209
90354556,,448,FINANCIAL,1726116894000-660011418-0001427712,116210
90654557,,181,FINANCIAL,1726116894000-660011418-0001427721,116211
90154558,,66,FINANCIAL,1726116894000-660011418-0001427730,116212
10161911,060104,5,FINANCIAL,1726116894000-660011418-0001427732,116213
90754559,,44,FINANCIAL,1726116894000-660011418-0001427742,116214
90254560,,153,FINANCIAL,1726116894000-660011418-0001427752,116215
10161912,,12,FINANCIAL,1726116894000-660011418-0001427759,116216
90354561,,220,FINANCIAL,1726116894000-660011418-0001427762,116217
90754562,,60,FINANCIAL,1726116894000-660011418-0001427772,116218
90654563,,181,FINANCIAL,1726116894000-660011418-0001427780,116219
10161913,,24,FINANCIAL,1726116894000-660011418-0001427789,116220
10161914,,13,FINANCIAL,1726116894000-660011418-0001427792,116221
90554564,,95,FINANCIAL,1726116894000-660011418-0001427796,116222
90454565,,75,FINANCIAL,1726116894000-660011418-0001427797,116223
90654566,,73,FINANCIAL,1726116894000-660011418-0001427799,116224
90254567,,192,FINANCIAL,1726116894000-660011418-0001427807,116225
90354568,,93,FINANCIAL,1726116894000-660011418-0001427810,116226
90654569,,71,FINANCIAL,1726116894000-660011418-0001427820,116227
