transaction_event_log_id,customer_dob_entry,duration,event_type,global_unique_identifier,verifone_transaction_sn
90754614,,81,FINANCIAL,1726116894000-660011418-0001428552,116327
90654615,,285,FINANCIAL,1726116894000-660011418-0001428555,116328
10161970,,11,FINANCIAL,1726116894000-660011418-0001428556,116329
10161971,,29,FINANCIAL,1726116894000-660011418-0001428564,116330
90354616,,193,FINANCIAL,1726116894000-660011418-0001428567,116331
10161972,,43,FINANCIAL,1726116894000-660011418-0001428574,116332
90254617,,134,FINANCIAL,1726116894000-660011418-0001428577,116333
90654618,,147,FINANCIAL,1726116894000-660011418-0001428586,116334
10161973,060104,9,FINANCIAL,1726116894000-660011418-0001428589,116335
10161974,,11,FINANCIAL,1726116894000-660011418-0001428603,116336
10161975,,10,FINANCIAL,1726116894000-660011418-0001428606,116337
10161976,,13,FINANCIAL,1726116894000-660011418-0001428608,116338
90654619,,52,FINANCIAL,1726116894000-660011418-0001428613,116339
90754620,,95,FINANCIAL,1726116894000-660011418-0001428622,116340
90654621,,61,FINANCIAL,1726116894000-660011418-0001428624,116341
90254622,,110,FINANCIAL,1726116894000-660011418-0001428626,116342
90654623,,92,FINANCIAL,1726116894000-660011418-0001428635,116343
90754624,,97,FINANCIAL,1726116894000-660011418-0001428657,116344
90654625,,97,FINANCIAL,1726116894000-660011418-0001428665,116345
10161977,060104,36,FINANCIAL,1726116894000-660011418-0001428667,116346
10161978,,33,FINANCIAL,1726116894000-660011418-0001428675,116347
90554626,,71,FINANCIAL,1726116894000-660011418-0001428692,116348
90654627,,61,FINANCIAL,1726116894000-660011418-0001428694,116349
10161979,060104,69,FINANCIAL,1726116894000-660011418-0001428702,116350
10161980,,19,FINANCIAL,1726116894000-660011418-0001428704,116351
90354628,,138,FINANCIAL,1726116894000-660011418-0001428712,116352
90154629,,71,FINANCIAL,1726116894000-660011418-0001428723,116353
90554630,,116,FINANCIAL,1726116894000-660011418-0001428731,116354
10161981,,10,FINANCIAL,1726116894000-660011418-0001428732,116355
10161982,,15,FINANCIAL,1726116894000-660011418-0001428740,116356
10161983,,31,FINANCIAL,1726116894000-660011418-0001428749,116357
90454631,,125,FINANCIAL,1726116894000-660011418-0001428752,116358
10161984,,20,FINANCIAL,1726116894000-660011418-0001428766,116359
10161985,060104,17,FINANCIAL,1726116894000-660011418-0001428769,116360
10161986,060104,19,FINANCIAL,1726116894000-660011418-0001428778,116361
90754632,,207,FINANCIAL,1726116894000-660011418-0001428781,116362
10161987,060104,8,FINANCIAL,1726116894000-660011418-0001428784,116363
10161988,,28,FINANCIAL,1726116894000-660011418-0001428794,116364
90354633,,177,FINANCIAL,1726116894000-660011418-0001428796,116365
90254634,,97,FINANCIAL,1726116894000-660011418-0001428798,116366
90654635,,112,FINANCIAL,1726116894000-660011418-0001428807,116367
90354636,,193,FINANCIAL,1726116894000-660011418-0001428823,116368
10161989,,4,FINANCIAL,1726116894000-660011418-0001428830,116369
90754637,,329,FINANCIAL,1726116894000-660011418-0001428833,116370
10161990,,17,FINANCIAL,1726116894000-660011418-0001428834,116371
10161991,,9,FINANCIAL,1726116894000-660011418-0001428836,116372
10161992,,13,FINANCIAL,1726116894000-660011418-0001428838,116373
90254638,,136,FINANCIAL,1726116894000-660011418-0001428846,116374
90654639,,108,FINANCIAL,1726116894000-660011418-0001428848,116375
10161993,060104,76,FINANCIAL,1726116894000-660011418-0001428857,116376
10161994,,16,FINANCIAL,1726116894000-660011418-0001428866,116377
90354640,,127,FINANCIAL,1726116894000-660011418-0001428869,116378
10161995,,15,FINANCIAL,1726116894000-660011418-0001428870,116379
10161996,060104,16,FINANCIAL,1726116894000-660011418-0001428879,116380
90654641,,100,FINANCIAL,1726116894000-660011418-0001428889,116381
10161997,,19,FINANCIAL,1726116894000-660011418-0001428896,116382
10161998,,14,FINANCIAL,1726116894000-660011418-0001428905,116383
90254642,,130,FINANCIAL,1726116894000-660011418-0001428909,116384
90654643,,38,FINANCIAL,1726116894000-660011418-0001428917,116385
10161999,,37,FINANCIAL,1726116894000-660011418-0001428924,116386
10162000,060107,2,FINANCIAL,1726116894000-660011418-0001428927,116387
90754644,,142,FINANCIAL,1726116894000-660011418-0001428935,116388
10162001,,11,FINANCIAL,1726116894000-660011418-0001428942,116389
